gt_rt,gt_cor,estimation_rt,estimation_cor
0.2052,1,0.22808323635413819,1
0.19519,1,0.1776565519285258,1
0.170166,1,0.16048083753807332,1
0.160156,1,0.2419186708071333,1
0.165161,1,0.19563940655756573,1
0.210205,1,0.1999595032909522,1
0.220215,1,0.16909874884987905,1
0.175171,0,0.16198806369334928,1
0.305298,0,0.1893497040727708,1
0.175171,1,0.19558409692172501,1
0.165161,0,0.28713443915684206,1
0.240234,0,0.18891896767064056,1
0.21521,1,0.22335754279367231,1
0.150146,1,0.1382695793950511,0
0.180176,1,0.1513879215671476,1
0.170166,0,0.20137995355695365,1
0.480469,1,0.18977633469263314,1
0.200195,0,0.23342560386895286,1
0.185181,1,0.41321310188384275,1
0.19519,0,0.27920655906851344,0
0.175171,1,0.2555065028971648,1
0.245239,1,0.25886820692555745,1
0.180176,0,0.19324445993658818,0
0.19519,1,0.2965869776893455,1
0.210205,1,0.26914159628911005,1
0.235229,1,0.14753644591584825,1
0.200195,1,0.1883205057468931,1
0.22522,0,0.13986125986297562,1
0.170166,1,0.18515137972091902,1
0.2052,0,0.21130408130905928,1
0.170166,0,0.2726992603653351,1
0.19519,0,0.257273688700847,1
0.240234,1,0.27057795238458665,0
0.21521,1,0.19548422064013077,0
0.185181,1,0.22711804227397975,1
0.185181,0,0.17896420992727105,1
0.22522,0,0.1570700426943274,0
0.150146,1,0.29340794280642435,0
0.285278,1,0.220506582960495,1
0.22522,1,0.30373247767184874,0
0.21521,1,0.2020512582387302,1
0.235229,1,0.15930496561435314,0
0.200195,1,0.2668538331626089,1
0.175171,1,0.1854441106864555,1
0.280273,1,0.1967672744764131,1
0.100098,1,0.2263331911862289,1
0.190186,1,0.36347738249848643,1
0.190186,1,0.17514221360543106,1
0.230225,1,0.1473257158947395,1
0.2052,0,0.19137106287478187,0
0.180176,1,0.2216053140979979,1
0.19519,0,0.2779716437919443,1
0.150146,1,0.26268724931515874,1
0.175171,1,0.3934541950728105,0
0.185181,1,0.19067180860924385,1
0.200195,1,0.1558836866879781,1
0.165161,1,0.2438220449483498,1
0.21521,1,0.2307677482416759,1
0.210205,0,0.15258584124127006,1
0.230225,0,0.18439723267601782,1
0.245239,1,0.28441046892198946,1
0.220215,1,0.2007087214171755,1
0.170166,1,0.2991950359540986,1
0.200195,1,0.21377822300242094,1
0.375366,1,0.15701070762940186,1
0.175171,1,0.11412568980388915,1
0.240234,0,0.21171267622820433,1
0.165161,0,0.21258393074768056,1
0.190186,1,0.13867851325884156,1
0.165161,1,0.19880859539781137,1
0.2052,1,0.3255508038773585,1
0.305298,1,0.19139127114900548,1
0.190186,1,0.19812628371557606,0
0.230225,1,0.1973896546350846,1
0.170166,1,0.278180131115298,1
0.235229,1,0.22394885062563888,0
0.230225,1,0.3258751401828539,1
0.210205,0,0.19234962612402717,1
0.275269,1,0.35838979274000543,1
0.265259,1,0.20311014173688144,1
